목록순위,차량ID,차량명,가격,연식,최초등록일,주행거리,사고여부,소유이력,렌트이력,내차피해,주의이력,상세URL
1,61368425,제네시스 G80 (RG3) 가솔린 터보 2.5 스포츠 패키지 AWD,"5,100만원",23년 5월식,23년 5월식,"20,541km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61368425
4,61364051,제네시스 G80 (RG3) 가솔린 터보 2.5 AWD,"4,780만원",23년 3월식,23년 3월식,"47,208km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61364051
24,61373210,제네시스 G80 (RG3) 가솔린 터보 3.5 2WD,"3,790만원",23년 1월식,23년 1월식,"32,987km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61373210
