목록순위,차량ID,차량명,가격,연식,최초등록일,주행거리,사고여부,소유이력,렌트이력,내차피해,주의이력,상세URL
3,61331766,제네시스 GV70 가솔린 터보 2.5 AWD,"4,790만원 4,880만원",24년 2월식,24년 2월식,"40,268km",무사고,"없이 한분이 운행하시던 "" 1인 소유 "" 차량입니다.",없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61331766
5,61329189,제네시스 GV70 가솔린 터보 2.5 AWD,"4,810만원",23년 6월식,23년 6월식,"43,299km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61329189
6,61329973,제네시스 GV70 가솔린 터보 2.5 AWD,"4,770만원",23년 6월식,23년 6월식,"31,197km",무사고,총 3회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61329973
10,61371312,제네시스 GV70 가솔린 터보 2.5 스포츠 2WD,"4,550만원",24년 1월식,24년 1월식,"16,778km",무사고,총 0회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61371312
11,61368830,제네시스 GV70 가솔린 터보 2.5 AWD,"4,470만원",24년 1월식,24년 1월식,"35,672km",무사고,없음/ 렌트이력 없음,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61368830
26,61370967,제네시스 GV70 가솔린 터보 2.5 2WD,"4,180만원",23년 6월식,23년 6월식,"23,912km",무사고,총 2회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61370967
