목록순위,차량ID,차량명,가격,연식,최초등록일,주행거리,사고여부,소유이력,렌트이력,내차피해,주의이력,상세URL
6,61341523,제네시스 G80 (RG3) 가솔린 터보 2.5 AWD,"4,450만원",23년 4월식,23년 4월식,"69,098km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61341523
8,61330848,제네시스 G80 (RG3) 가솔린 터보 2.5 AWD,"4,420만원",23년 5월식,23년 5월식,"30,979km",무사고,총 3회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61330848
18,61342781,제네시스 G80 (RG3) 가솔린 터보 2.5 2WD,"4,050만원",23년 3월식,23년 3월식,"26,211km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61342781
