목록순위,차량ID,차량명,가격,연식,최초등록일,주행거리,사고여부,소유이력,렌트이력,내차피해,주의이력,상세URL
4,61368425,제네시스 G80 (RG3) 가솔린 터보 2.5 스포츠 패키지 AWD,"4,980만원",23년 5월식,23년 5월식,"20,541km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61368425
13,61374378,제네시스 G80 (RG3) 가솔린 터보 2.5 AWD,"4,570만원",23년 7월식(24년형),23년 7월식(24년형),"49,995km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61374378
14,61376684,제네시스 G80 (RG3) 가솔린 터보 2.5 AWD,"4,550만원",23년 7월식(24년형),23년 7월식(24년형),"53,004km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61376684
