목록순위,차량ID,차량명,가격,연식,최초등록일,주행거리,사고여부,소유이력,렌트이력,내차피해,주의이력,상세URL
1,61322263,제네시스 GV80 가솔린 2.5 2WD (7인승),"6,090만원",23년 1월식,23년 1월식,"15,132km",무사고,총 2회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61322263
5,61360736,제네시스 GV80 가솔린 3.5 2WD (7인승),"5,280만원",23년 12월식,23년 12월식,"33,064km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61360736
7,61343477,제네시스 GV80 가솔린 2.5 2WD (7인승),"5,260만원",23년 1월식,23년 1월식,"44,324km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61343477
10,61320178,제네시스 GV80 가솔린 2.5 AWD (6인승),"5,130만원",23년 1월식,23년 1월식,"58,999km",무사고,총 2회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61320178
12,61330748,제네시스 GV80 가솔린 2.5 2WD (7인승),"5,080만원",23년 7월식,23년 7월식,"43,167km",무사고,총 2회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61330748
