목록순위,차량ID,차량명,가격,연식,최초등록일,주행거리,사고여부,소유이력,렌트이력,내차피해,주의이력,상세URL
1,61418743,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 스포츠 패키지 4WD,"6,150만원",25년 2월식,25년 2월식,"9,120km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61418743
2,61411708,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 스포츠 패키지 4WD,"5,910만원",24년 7월식(25년형),24년 7월식(25년형),"20,071km",무사고,총 0회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61411708
3,61412917,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 4WD,"5,890만원",26년 6월식(27년형),26년 6월식(27년형),"1,561km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61412917
4,61416241,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 스포츠 패키지 4WD,"5,830만원",24년 7월식(25년형),24년 7월식(25년형),"14,059km",무사고,총 0회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61416241
5,61409240,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 4WD,"5,800만원",24년 11월식(25년형),24년 11월식(25년형),"20,988km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61409240
8,61413268,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 4WD,"5,720만원",24년 7월식(25년형),24년 7월식(25년형),"21,635km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61413268
9,61414998,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 4WD,"5,570만원",26년 1월식,26년 1월식,"9,249km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61414998
10,61403963,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 4WD,"5,500만원",24년 2월식(25년형),24년 2월식(25년형),"32,666km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61403963
12,61413302,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 4WD,"5,490만원",24년 7월식(25년형),24년 7월식(25년형),"19,011km",무사고,총 3회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61413302
13,61411103,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 4WD,"5,430만원",24년 9월식(25년형),24년 9월식(25년형),"10,555km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61411103
14,61412950,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 2WD,"5,390만원",24년 9월식(25년형),24년 9월식(25년형),"11,450km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61412950
15,61416499,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 4WD,"5,390만원",24년 7월식(25년형),24년 7월식(25년형),"44,166km",무사고,총 0회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61416499
16,61414472,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 2WD,"5,390만원",24년 7월식(25년형),24년 7월식(25년형),"23,262km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61414472
18,61415073,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 4WD,"5,320만원",25년 1월식,25년 1월식,"28,861km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61415073
21,61403596,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 4WD,"5,210만원",24년 8월식(25년형),24년 8월식(25년형),"10,224km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61403596
22,61418026,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 2WD,"5,180만원",24년 9월식(25년형),24년 9월식(25년형),"33,900km",무사고,총 0회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61418026
23,61415209,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 4WD,"5,090만원",24년 11월식(25년형),24년 11월식(25년형),"52,777km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61415209
24,61411654,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 2WD,"5,090만원",24년 6월식(25년형),24년 6월식(25년형),"12,532km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61411654
25,61412248,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 4WD,"5,050만원",24년 6월식(25년형),24년 6월식(25년형),"42,275km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61412248
