목록순위,차량ID,차량명,가격,연식,최초등록일,주행거리,사고여부,소유이력,렌트이력,내차피해,주의이력,상세URL
3,61402375,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 4WD,"5,390만원",24년 7월식(25년형),24년 7월식(25년형),"15,943km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61402375
4,61403596,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 4WD,"5,210만원",24년 8월식(25년형),24년 8월식(25년형),"10,224km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61403596
10,61386320,제네시스 G80 (RG3) 가솔린 터보 2.5 AWD,"4,520만원",23년 6월식(24년형),23년 6월식(24년형),"62,022km",무사고,총 2회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61386320
12,61375087,제네시스 G80 (RG3) 가솔린 터보 2.5 AWD,"4,450만원",23년 3월식,23년 3월식,"45,978km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61375087
18,61392660,제네시스 G80 (RG3) 가솔린 터보 2.5 AWD,"4,290만원",23년 6월식(24년형),23년 6월식(24년형),"23,307km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61392660
