목록순위,차량ID,차량명,가격,연식,최초등록일,주행거리,사고여부,소유이력,렌트이력,내차피해,주의이력,상세URL
3,61368425,제네시스 G80 (RG3) 가솔린 터보 2.5 스포츠 패키지 AWD,"4,930만원",23년 5월식,23년 5월식,"20,541km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61368425
7,61376684,제네시스 G80 (RG3) 가솔린 터보 2.5 AWD,"4,780만원",23년 7월식(24년형),23년 7월식(24년형),"53,004km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61376684
10,61381105,제네시스 G80 (RG3) 가솔린 터보 2.5 AWD,"4,680만원",23년 11월식(24년형),23년 11월식(24년형),"4,644km",무사고,총 0회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61381105
11,61381122,제네시스 G80 (RG3) 가솔린 터보 2.5 AWD,"4,610만원",23년 6월식(24년형),23년 6월식(24년형),"32,347km",무사고,총 0회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61381122
12,61375087,제네시스 G80 (RG3) 가솔린 터보 2.5 AWD,"4,610만원",23년 3월식,23년 3월식,"45,978km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61375087
15,61374378,제네시스 G80 (RG3) 가솔린 터보 2.5 AWD,"4,570만원",23년 7월식(24년형),23년 7월식(24년형),"49,995km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61374378
30,61381084,제네시스 G80 (RG3) 가솔린 터보 3.5 AWD,"4,310만원",23년 5월식,23년 5월식,"53,334km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61381084
