목록순위,차량ID,차량명,가격,연식,최초등록일,주행거리,사고여부,소유이력,렌트이력,내차피해,주의이력,상세URL
4,61393147,제네시스 GV80 가솔린 2.5 AWD (5인승),"5,440만원",23년 4월식,23년 4월식,"24,182km",무사고,총 3회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61393147
6,61385116,제네시스 GV80 가솔린 2.5 2WD (6인승),"5,380만원",23년 3월식,23년 3월식,"25,340km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61385116
15,61395540,제네시스 GV80 가솔린 2.5 AWD (5인승),"5,150만원",23년 9월식,23년 9월식,"43,697km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61395540
16,61406061,제네시스 GV80 디젤 3.0 AWD (5인승),"5,100만원",23년 6월식,23년 6월식,"48,923km",무사고,총 0회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61406061
