목록순위,차량ID,차량명,가격,연식,최초등록일,주행거리,사고여부,소유이력,렌트이력,내차피해,주의이력,상세URL
2,61401219,제네시스 GV70 가솔린 터보 2.5 AWD,"4,620만원",23년 6월식,23년 6월식,"24,828km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61401219
5,61412136,제네시스 GV70 가솔린 터보 2.5 2WD,"4,520만원",23년 8월식(24년형),23년 8월식(24년형),"17,383km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61412136
6,61414841,제네시스 GV70 가솔린 터보 2.5 2WD,"4,490만원",23년 6월식,23년 6월식,"35,752km",무사고,총 4회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61414841
10,61410238,제네시스 GV70 가솔린 터보 2.5 스포츠 2WD,"4,320만원",23년 7월식,23년 7월식,"61,890km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61410238
