목록순위,차량ID,차량명,가격,연식,최초등록일,주행거리,사고여부,소유이력,렌트이력,내차피해,주의이력,상세URL
4,61401219,제네시스 GV70 가솔린 터보 2.5 AWD,"4,620만원",23년 6월식,23년 6월식,"24,828km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61401219
6,61391655,제네시스 GV70 가솔린 터보 2.5 스포츠 AWD,"4,450만원",23년 12월식(24년형),23년 12월식(24년형),"9,441km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61391655
8,61374972,제네시스 GV70 가솔린 터보 2.5 스포츠 2WD,"4,390만원",23년 7월식,23년 7월식,"29,749km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61374972
21,61409628,제네시스 GV70 가솔린 터보 2.5 AWD,"4,230만원",23년 4월식,23년 4월식,"13,076km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61409628
29,61405802,제네시스 GV70 가솔린 터보 2.5 AWD,"4,120만원",23년 4월식,23년 4월식,"44,201km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61405802
