목록순위,차량ID,차량명,가격,연식,최초등록일,주행거리,사고여부,소유이력,렌트이력,내차피해,주의이력,상세URL
1,61387413,제네시스 GV80 가솔린 2.5 AWD (5인승),"5,850만원",23년 1월식,23년 1월식,"34,918km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61387413
2,61389653,제네시스 GV80 가솔린 2.5 AWD (6인승),"5,790만원",23년 5월식,23년 5월식,"56,167km",무사고,총 0회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61389653
5,61374571,제네시스 GV80 가솔린 3.5 AWD (5인승),"5,630만원",23년 4월식,23년 4월식,"27,303km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61374571
6,61385116,제네시스 GV80 가솔린 2.5 2WD (6인승),"5,620만원",23년 3월식,23년 3월식,"25,340km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61385116
27,61320178,제네시스 GV80 가솔린 2.5 AWD (6인승),"4,830만원 4,980만원",23년 1월식,23년 1월식,"58,999km",무사고,총 2회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61320178
