목록순위,차량ID,차량명,가격,연식,최초등록일,주행거리,사고여부,소유이력,렌트이력,내차피해,주의이력,상세URL
2,61403963,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 4WD,"5,500만원",24년 2월식(25년형),24년 2월식(25년형),"32,666km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61403963
5,61403596,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 4WD,"5,210만원",24년 8월식(25년형),24년 8월식(25년형),"10,224km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61403596
7,61409915,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 4WD,"5,090만원",24년 8월식(25년형),24년 8월식(25년형),"20,957km",무사고,총 0회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61409915
11,61409394,제네시스 G80 (RG3) 가솔린 터보 2.5 스포츠 패키지 AWD,"4,620만원",23년 5월식,23년 5월식,"29,684km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61409394
13,61410848,제네시스 G80 (RG3) 가솔린 터보 2.5 스포츠 패키지 AWD,"4,590만원",23년 9월식(24년형),23년 9월식(24년형),"60,845km",무사고,총 0회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61410848
14,61386320,제네시스 G80 (RG3) 가솔린 터보 2.5 AWD,"4,520만원",23년 6월식(24년형),23년 6월식(24년형),"62,022km",무사고,총 2회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61386320
21,61392660,제네시스 G80 (RG3) 가솔린 터보 2.5 AWD,"4,250만원",23년 6월식(24년형),23년 6월식(24년형),"23,307km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61392660
