목록순위,차량ID,차량명,가격,연식,최초등록일,주행거리,사고여부,소유이력,렌트이력,내차피해,주의이력,상세URL
1,61374571,제네시스 GV80 가솔린 3.5 AWD (5인승),"5,780만원",23년 4월식,23년 4월식,"27,303km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61374571
6,61374477,제네시스 GV80 가솔린 3.5 AWD (5인승),"5,550만원",23년 1월식,23년 1월식,"67,839km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61374477
18,61320178,제네시스 GV80 가솔린 2.5 AWD (6인승),"4,960만원 5,060만원",23년 1월식,23년 1월식,"58,999km",무사고,총 2회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61320178
