목록순위,차량ID,차량명,가격,연식,최초등록일,주행거리,사고여부,소유이력,렌트이력,내차피해,주의이력,상세URL
3,61393147,제네시스 GV80 가솔린 2.5 AWD (5인승),"5,410만원",23년 4월식,23년 4월식,"24,182km",무사고,총 3회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61393147
6,61413868,제네시스 GV80 가솔린 2.5 AWD (5인승),"5,350만원",23년 1월식,23년 1월식,"35,669km",무사고,총 0회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61413868
7,61385116,제네시스 GV80 가솔린 2.5 2WD (6인승),"5,270만원",23년 3월식,23년 3월식,"25,340km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61385116
14,61406061,제네시스 GV80 디젤 3.0 AWD (5인승),"5,100만원",23년 6월식,23년 6월식,"48,923km",무사고,총 0회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61406061
19,61395540,제네시스 GV80 가솔린 2.5 AWD (5인승),"5,050만원",23년 9월식,23년 9월식,"43,697km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61395540
