목록순위,차량ID,차량명,가격,연식,최초등록일,주행거리,사고여부,소유이력,렌트이력,내차피해,주의이력,상세URL
1,61322263,제네시스 GV80 가솔린 2.5 2WD (7인승),"6,190만원",23년 1월식,23년 1월식,"15,132km",무사고,총 2회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61322263
5,61334464,제네시스 GV80 가솔린 2.5 2WD (7인승),"5,690만원",23년 1월식,23년 1월식,"34,655km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61334464
8,61331955,제네시스 GV80 가솔린 2.5 AWD (5인승),"5,580만원",23년 10월식,23년 10월식,"57,751km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61331955
11,61311283,제네시스 GV80 가솔린 2.5 2WD (5인승),"5,500만원",23년 5월식,23년 5월식,"48,092km",무사고,총 3회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61311283
12,61343477,제네시스 GV80 가솔린 2.5 2WD (7인승),"5,490만원",23년 1월식,23년 1월식,"44,324km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61343477
14,61330748,제네시스 GV80 가솔린 2.5 2WD (7인승),"5,290만원",23년 7월식,23년 7월식,"43,167km",무사고,총 2회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61330748
16,61320178,제네시스 GV80 가솔린 2.5 AWD (6인승),"5,220만원",23년 1월식,23년 1월식,"58,999km",무사고,총 2회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61320178
