목록순위,차량ID,차량명,가격,연식,최초등록일,주행거리,사고여부,소유이력,렌트이력,내차피해,주의이력,상세URL
4,61401985,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 2WD,"5,350만원",24년 11월식(25년형),24년 11월식(25년형),"14,573km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61401985
11,61386320,제네시스 G80 (RG3) 가솔린 터보 2.5 AWD,"4,550만원",23년 6월식(24년형),23년 6월식(24년형),"62,022km",무사고,총 2회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61386320
13,61375087,제네시스 G80 (RG3) 가솔린 터보 2.5 AWD,"4,500만원",23년 3월식,23년 3월식,"45,978km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61375087
21,61392660,제네시스 G80 (RG3) 가솔린 터보 2.5 AWD,"4,320만원",23년 6월식(24년형),23년 6월식(24년형),"23,307km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61392660
