목록순위,차량ID,차량명,가격,연식,최초등록일,주행거리,사고여부,소유이력,렌트이력,내차피해,주의이력,상세URL
2,61401182,제네시스 GV70 가솔린 터보 2.5 스포츠 2WD,"4,750만원",23년 5월식,23년 5월식,"28,584km",무사고,총 4회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61401182
4,61401219,제네시스 GV70 가솔린 터보 2.5 AWD,"4,650만원",23년 6월식,23년 6월식,"24,828km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61401219
8,61374972,제네시스 GV70 가솔린 터보 2.5 스포츠 2WD,"4,490만원",23년 7월식,23년 7월식,"29,749km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61374972
9,61391655,제네시스 GV70 가솔린 터보 2.5 스포츠 AWD,"4,480만원",23년 12월식(24년형),23년 12월식(24년형),"9,441km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61391655
