목록순위,차량ID,차량명,가격,연식,최초등록일,주행거리,사고여부,소유이력,렌트이력,내차피해,주의이력,상세URL
5,61368425,제네시스 G80 (RG3) 가솔린 터보 2.5 스포츠 패키지 AWD,"4,800만원",23년 5월식,23년 5월식,"20,541km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61368425
11,61375087,제네시스 G80 (RG3) 가솔린 터보 2.5 AWD,"4,610만원",23년 3월식,23년 3월식,"45,978km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61375087
13,61386320,제네시스 G80 (RG3) 가솔린 터보 2.5 AWD,"4,590만원",23년 6월식(24년형),23년 6월식(24년형),"62,022km",무사고,총 2회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61386320
18,61389214,제네시스 G80 (RG3) 가솔린 터보 3.5 AWD,"4,490만원",23년 5월식,23년 5월식,"44,260km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61389214
24,61383036,제네시스 G80 (RG3) 가솔린 터보 2.5 AWD,"4,370만원",23년 2월식,23년 2월식,"36,515km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61383036
27,61384451,제네시스 G80 (RG3) 가솔린 터보 3.5 AWD,"4,320만원",23년 6월식(24년형),23년 6월식(24년형),"42,473km",무사고,총 3회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61384451
28,61381084,제네시스 G80 (RG3) 가솔린 터보 3.5 AWD,"4,310만원",23년 5월식,23년 5월식,"53,334km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61381084
